,Dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1044,5/14/2012,-2.346609139,-2.271651905,-2.143307301,-2.649111159,-2.343900046,-2.55170166,-2.669878609,-2.614378705,-2.614800971,-2.625798147,-2.614231669,-2.625640316,-2.819732213,-2.815422786,-2.744731852,-2.293809821,-2.187540052,-2.183799321,-2.13442264,-2.229432712,-2.114420674
1045,5/15/2012,-2.217506256,-2.346609139,-2.271651905,-2.416200754,-2.649111159,-2.343900046,-2.406292349,-2.669878609,-2.614378705,-2.472198275,-2.625798147,-2.614231669,-2.911898674,-2.819732213,-2.815422786,-2.062014613,-2.293809821,-2.187540052,-2.129208116,-2.13442264,-2.229432712
1046,5/16/2012,-2.166587595,-2.217506256,-2.346609139,-2.309779168,-2.416200754,-2.649111159,-2.316768524,-2.406292349,-2.669878609,-2.27893938,-2.472198275,-2.625798147,-2.31964592,-2.911898674,-2.819732213,-1.855119034,-2.062014613,-2.293809821,-2.016232079,-2.129208116,-2.13442264
1047,5/17/2012,-2.092402597,-2.166587595,-2.217506256,-2.294467906,-2.309779168,-2.416200754,-2.443353242,-2.316768524,-2.406292349,-2.351120183,-2.27893938,-2.472198275,-2.645411255,-2.31964592,-2.911898674,-2.023486614,-1.855119034,-2.062014613,-1.969548395,-2.016232079,-2.129208116
1048,5/20/2012,-1.989859242,-2.092402597,-2.166587595,-2.311642859,-2.294467906,-2.309779168,-2.285479598,-2.443353242,-2.316768524,-2.311051999,-2.351120183,-2.27893938,-2.551093663,-2.645411255,-2.31964592,-2.005929719,-2.023486614,-1.855119034,-1.84692837,-1.969548395,-2.016232079
1049,5/21/2012,-2.190538253,-1.989859242,-2.092402597,-2.431459334,-2.311642859,-2.294467906,-2.40887014,-2.285479598,-2.443353242,-2.480301527,-2.311051999,-2.351120183,-2.658968361,-2.551093663,-2.645411255,-2.028490134,-2.005929719,-2.023486614,-2.024867397,-1.84692837,-1.969548395
1050,5/22/2012,-2.157501705,-2.190538253,-1.989859242,-2.467516489,-2.431459334,-2.311642859,-2.44177991,-2.40887014,-2.285479598,-2.400656449,-2.480301527,-2.311051999,-2.618181505,-2.658968361,-2.551093663,-2.109257208,-2.028490134,-2.005929719,-1.994278176,-2.024867397,-1.84692837
1051,5/23/2012,-2.014576317,-2.157501705,-2.190538253,-2.324451068,-2.467516489,-2.431459334,-2.234932612,-2.44177991,-2.40887014,-2.272017097,-2.400656449,-2.480301527,-2.632276687,-2.618181505,-2.658968361,-1.984233186,-2.109257208,-2.028490134,-1.867711524,-1.994278176,-2.024867397
1052,5/24/2012,-1.918660893,-2.014576317,-2.157501705,-2.288634362,-2.324451068,-2.467516489,-2.167156662,-2.234932612,-2.44177991,-2.221954128,-2.272017097,-2.400656449,-2.664142957,-2.632276687,-2.618181505,-1.925233532,-1.984233186,-2.109257208,-1.776977314,-1.867711524,-1.994278176
1053,5/27/2012,-2.228558614,-1.918660893,-2.014576317,-2.588597799,-2.288634362,-2.324451068,-2.278660882,-2.167156662,-2.234932612,-2.34674002,-2.221954128,-2.272017097,-2.680397393,-2.664142957,-2.632276687,-2.072023626,-1.925233532,-1.984233186,-1.992254654,-1.776977314,-1.867711524
1054,5/28/2012,-2.328628494,-2.228558614,-1.918660893,-2.770308693,-2.588597799,-2.288634362,-2.521179633,-2.278660882,-2.167156662,-2.50460239,-2.34674002,-2.221954128,-2.835307982,-2.680397393,-2.664142957,-2.211228092,-2.072023626,-1.925233532,-2.209095608,-1.992254654,-1.776977314
1055,5/29/2012,-2.125365095,-2.328628494,-2.228558614,-2.500099282,-2.770308693,-2.588597799,-2.424712353,-2.521179633,-2.278660882,-2.432966029,-2.50460239,-2.34674002,-2.802308853,-2.835307982,-2.680397393,-2.246355548,-2.211228092,-2.072023626,-2.061576229,-2.209095608,-1.992254654
1056,5/30/2012,-2.061200873,-2.125365095,-2.328628494,-2.384319292,-2.500099282,-2.770308693,-2.348024667,-2.424712353,-2.521179633,-2.318761129,-2.432966029,-2.50460239,-2.584339195,-2.802308853,-2.835307982,-2.179861208,-2.246355548,-2.211228092,-1.997648002,-2.061576229,-2.209095608
1057,5/31/2012,-1.987188903,-2.061200873,-2.125365095,-2.359086321,-2.384319292,-2.500099282,-2.300792268,-2.348024667,-2.424712353,-2.312801879,-2.318761129,-2.432966029,-2.421960809,-2.584339195,-2.802308853,-1.937364356,-2.179861208,-2.246355548,-2.022862425,-1.997648002,-2.061576229
1058,6/3/2012,-1.81787573,-1.987188903,-2.061200873,-2.088423532,-2.359086321,-2.384319292,-2.050892055,-2.300792268,-2.348024667,-2.003917401,-2.312801879,-2.318761129,-2.030847298,-2.421960809,-2.584339195,-1.834476573,-1.937364356,-2.179861208,-1.823244337,-2.022862425,-1.997648002
